names,f1,precision,recall,area_ratio,image_confidence,avg obj conf,avg obj size,stdev obj conf,stdev obj size,avg pred shape,stdev pred shape,range pred shape,counts,swell,swell_frac,num_0.1,num_0.2,num_0.3,num_0.4,num_0.5,num_0.6,num_0.7,num_0.8,num_0.9,label
800H-H07_0012.png,0.592833876,0.93814433,0.433333333,0.060287424,0.960956748,0.90931432,0.00062152,0.224344906,0.000390067,1.011770491,0.018958912,0.165532276,97,-0.44751302,-42.47560597,4,2,2,1,1,1,2,3,81,A:  under_over
800H-H07_0014.png,0.662295082,0.901785714,0.523316062,0.077896215,0.974668745,0.94864835,0.000695502,0.174303937,0.000433743,1.011609754,0.015061915,0.095527763,112,-0.385874525,-31.28738825,2,3,0,0,1,1,1,1,103,A:  under_over
CTEM 150kx c1 a0b0 _0013.png,0.444444444,0.6,0.352941176,0.00704613,0.881359779,0.883215529,0.000704613,0.208890326,0.000254385,1.012360615,0.008835813,0.023966817,10,-0.063361023,-67.85182451,0,1,0,0,0,0,1,2,6,A:  under_over
CTEM 150kx c1 a0b0 _0021.png,0.638297872,0.833333333,0.517241379,0.033164048,0.995665306,0.984784404,0.001842447,0.047787086,0.001170701,1.010836137,0.01060192,0.044625303,18,-0.188823689,-41.77594669,0,0,0,0,0,0,1,0,17,A:  under_over
CTEM 150kx c1 a0b0 _0023.png,0.56,0.933333333,0.4,0.010794074,0.936851293,0.868845785,0.000719605,0.217936841,0.000371819,1.007818582,0.003342204,0.012355926,15,-0.080076003,-62.40160939,0,0,1,1,1,0,0,1,11,A:  under_over
CTEM 150kx c1 a0b0 _0033.png,0.4,0.9375,0.254237288,0.013061163,0.960714457,0.906430922,0.000816323,0.23760388,0.000558269,1.00869262,0.003212354,0.0115543,16,-0.20796384,-75.26448714,0,1,1,0,0,0,0,0,14,A:  under_over
CTEM 150kx c1 a0b0 _0043.png,0.619047619,0.962962963,0.456140351,0.051446378,0.976021877,0.9611621,0.001905421,0.119194573,0.001051292,1.019046285,0.04344837,0.182807286,27,-0.263280397,-39.00636571,0,0,0,1,0,1,0,1,24,A:  under_over
CTEM 150kx c1 a0b0 _0045.png,0.719101124,0.914285714,0.592592593,0.08005001,0.979011166,0.938757336,0.002287143,0.17397622,0.001414334,1.027141023,0.061915014,0.236012204,35,-0.050341206,-6.51093523,0,1,1,0,0,1,1,0,31,A:  under_over
CTEM 150kx c1 a0b0 _0054.png,0.575,1,0.403508772,0.027818212,0.976441143,0.907600632,0.001209487,0.237798507,0.001043142,1.008890737,0.006127155,0.02161042,23,-0.13134951,-39.72790461,0,1,2,0,0,0,0,0,20,A:  under_over
CTEM BF 150 kx area4 a0b0_0007.png,0.805970149,0.931034483,0.710526316,0.053521988,0.992741101,0.986381985,0.001845586,0.048490267,0.001119694,1.009126803,0.008631058,0.047834014,29,-0.131237602,-24.23556852,0,0,0,0,0,0,1,0,28,A:  under_over
